ParticipantID,Frame,Timer,HeadX,HeadY,HeadZ,HeadRX,HeadRY,HeadRZ,LHandX,LHandY,LHandZ,LHandRX,LHandRY,LHandRZ,RHandX,RHandY,RHandZ,RHandRX,RHandRY,RHandRZ,LEyeRX,LEyeRY,LEyeRZ,REyeRX,REyeRY,REyeRZ,LEyeConf,REyeConf
0,108,1.385747,0.5125996,1.556361,0.79569,19.78524,197.6287,7.072065,0.5444284,1.552514,0.787028,19.78524,197.6287,7.072065,0.4807709,1.560208,0.804352,19.78524,197.6287,7.072065,24.35748,213.6428,4.685966e-07,25.06118,210.1142,4.712523e-07,0.5,0.5
0,109,1.399475,0.5177339,1.552023,0.7965543,21.50379,195.5328,6.965768,0.5498901,1.548275,0.7891491,21.50379,195.5328,6.965768,0.4855776,1.55577,0.8039595,21.50379,195.5328,6.965768,27.06482,206.7615,-1.438149e-06,27.70052,202.8766,-4.821458e-07,0.5,0.5
0,117,1.513021,0.5443691,1.525348,0.8012668,30.09024,186.9224,6.2314,0.57736,1.522229,0.799082,30.09025,186.9224,6.231401,0.5113782,1.528467,0.8034517,30.09025,186.9224,6.231401,23.33581,208.568,9.298351e-07,24.12309,205.2996,4.677342e-07,0.5,0.5
0,118,1.518088,0.5461076,1.522295,0.8020846,31.33319,186.7947,6.118744,0.5791143,1.519271,0.8000056,31.33319,186.7947,6.118744,0.5131009,1.525319,0.8041635,31.33319,186.7947,6.118744,24.50149,208.4867,4.691319e-07,25.30939,205.1939,4.722134e-07,0.5,0.5
0,119,1.531333,0.5457016,1.521148,0.8028763,31.88751,187.6436,5.976678,0.5786805,1.518212,0.8002934,31.88751,187.6436,5.976678,0.5127226,1.524084,0.8054591,31.88751,187.6436,5.976678,33.73212,212.9528,-1.026611e-06,34.86786,209.2049,0.0,0.5,0.5
0,127,1.629136,0.5245172,1.517077,0.8035254,33.21295,199.3144,8.293287,0.5563982,1.513069,0.7951322,33.21295,199.3144,8.293287,0.4926363,1.521085,0.8119186,33.21295,199.3144,8.293287,29.92546,219.8947,9.851136e-07,31.07931,216.0058,9.968711e-07,0.5,0.5
0,128,1.633529,0.5196596,1.517242,0.8031181,33.24192,201.0011,8.858606,0.5512984,1.512965,0.7939754,33.24192,201.0011,8.858606,0.4880207,1.52152,0.8122609,33.24192,201.0011,8.858606,29.90304,221.7054,0.0,31.08485,217.8282,0.0,0.5,0.5
0,138,1.748009,0.4598257,1.546522,0.7911122,20.3334,208.1415,8.146239,0.4895855,1.542109,0.7770486,20.3334,208.1415,8.146239,0.4300658,1.550934,0.8051757,20.3334,208.1415,8.146239,13.0955,220.2409,4.382849e-07,13.85219,216.2262,4.39674e-07,0.5,0.5
0,139,1.763573,0.44777,1.547789,0.7902815,19.52634,209.96,7.968961,0.4770329,1.543449,0.7751901,19.52634,209.96,7.968961,0.418507,1.552128,0.805373,19.52634,209.96,7.968961,14.14125,221.5896,-4.402273e-07,14.91352,217.552,0.0,0.5,0.5
0,147,1.8649,0.3371805,1.547969,0.8001402,17.9942,223.6283,6.059812,0.3618319,1.544634,0.778138,17.9942,223.6283,6.059812,0.3125292,1.551303,0.8221424,17.9942,223.6283,6.059812,15.30121,249.7582,1.770301e-06,15.79019,247.7772,-8.872545e-07,0.5,0.5
