"No.","Time","Source","Destination","Protocol","Length","Info"
"10708","23.789544","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=518, FN=0, Flags=....R..TC"
"10710","23.790621","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=497, FN=0, Flags=....R..TC"
"10714","23.794191","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=515, FN=0, Flags=.......TC"
"10718","23.797202","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=519, FN=0, Flags=.......TC"
"10722","23.798909","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=498, FN=0, Flags=.......TC"
"10726","23.800093","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=499, FN=0, Flags=.......TC"
"10730","23.801161","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=516, FN=0, Flags=.......TC"
"10734","23.805280","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=520, FN=0, Flags=.......TC"
"10742","23.908409","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=517, FN=0, Flags=.......TC"
"10744","23.909476","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=500, FN=0, Flags=....R..TC"
"10746","23.910571","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=521, FN=0, Flags=....R..TC"
"10750","23.913115","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=501, FN=0, Flags=.......TC"
"10754","23.915568","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=522, FN=0, Flags=.......TC"
"10758","23.916627","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=518, FN=0, Flags=.......TC"
"10762","23.917694","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=502, FN=0, Flags=.......TC"
"10766","23.920454","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=523, FN=0, Flags=.......TC"
"10770","23.925635","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=519, FN=0, Flags=.......TC"
"10774","23.927512","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=503, FN=0, Flags=.......TC"
"10782","24.028309","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=524, FN=0, Flags=.......TC"
"10784","24.029367","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=504, FN=0, Flags=.......TC"
"10786","24.030426","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=520, FN=0, Flags=.......TC"
"10790","24.033465","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=521, FN=0, Flags=.......TC"
"10794","24.036287","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=505, FN=0, Flags=.......TC"
"10798","24.036959","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=506, FN=0, Flags=.......TC"
"10804","24.038737","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=522, FN=0, Flags=.......TC"
"10808","24.044449","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=507, FN=0, Flags=.......TC"
"10812","24.047830","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=523, FN=0, Flags=.......TC"
"10820","24.148302","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=525, FN=0, Flags=.......TC"
"10824","24.149514","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=526, FN=0, Flags=.......TC"
"10826","24.150572","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=524, FN=0, Flags=.......TC"
"10828","24.151631","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=508, FN=0, Flags=.......TC"
"10832","24.152708","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=527, FN=0, Flags=.......TC"
"10836","24.158887","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=525, FN=0, Flags=.......TC"
"10840","24.159973","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=509, FN=0, Flags=.......TC"
"10844","24.162399","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=528, FN=0, Flags=.......TC"
"10848","24.165807","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=526, FN=0, Flags=.......TC"
"10856","24.268305","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=527, FN=0, Flags=.......TC"
"10858","24.269363","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=529, FN=0, Flags=.......TC"
"10860","24.270422","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=510, FN=0, Flags=.......TC"
"10866","24.273658","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=530, FN=0, Flags=.......TC"
"10870","24.274726","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=511, FN=0, Flags=.......TC"
"10872","24.275794","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=528, FN=0, Flags=.......TC"
"10876","24.276861","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=531, FN=0, Flags=.......TC"
"10880","24.282690","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=529, FN=0, Flags=.......TC"
"10884","24.283856","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=512, FN=0, Flags=.......TC"
"10888","24.285563","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=532, FN=0, Flags=.......TC"
"10896","24.388404","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=513, FN=0, Flags=.......TC"
"10898","24.389499","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=533, FN=0, Flags=....R..TC"
"10902","24.389819","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=534, FN=0, Flags=.......TC"
"10906","24.390698","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=535, FN=0, Flags=.......TC"
"10910","24.391145","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=536, FN=0, Flags=.......TC"
"10916","24.392500","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=537, FN=0, Flags=.......TC"
"10918","24.393559","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=530, FN=0, Flags=....R..TC"
"10920","24.394626","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=514, FN=0, Flags=.......TC"
"10924","24.396801","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=531, FN=0, Flags=.......TC"
"10928","24.397869","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=515, FN=0, Flags=.......TC"
"10932","24.398540","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=516, FN=0, Flags=.......TC"
"10938","24.403375","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=532, FN=0, Flags=.......TC"
"10942","24.405963","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=517, FN=0, Flags=.......TC"
"10950","24.508299","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=518, FN=0, Flags=.......TC"
"10952","24.509658","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=533, FN=0, Flags=....R..TC"
"10954","24.510725","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=538, FN=0, Flags=....R..TC"
"10958","24.515294","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=534, FN=0, Flags=.......TC"
"10962","24.517964","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=519, FN=0, Flags=.......TC"
"10968","24.519184","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=539, FN=0, Flags=.......TC"
"10972","24.521332","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=520, FN=0, Flags=.......TC"
"10976","24.522471","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=540, FN=0, Flags=.......TC"
"10985","24.628415","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=521, FN=0, Flags=.......TC"
"10987","24.629509","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=535, FN=0, Flags=....R..TC"
"10991","24.630577","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=522, FN=0, Flags=.......TC"
"10995","24.631645","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=536, FN=0, Flags=.......TC"
"10999","24.632721","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=523, FN=0, Flags=.......TC"
"11001","24.633789","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=541, FN=0, Flags=....R..TC"
"11005","24.637844","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=537, FN=0, Flags=.......TC"
"11009","24.639137","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=524, FN=0, Flags=.......TC"
"11013","24.640205","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=542, FN=0, Flags=.......TC"
"11017","24.641983","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=525, FN=0, Flags=.......TC"
"11021","24.645211","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=538, FN=0, Flags=.......TC"
"11029","24.748302","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=539, FN=0, Flags=.......TC"
"11031","24.749361","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=526, FN=0, Flags=.......TC"
"11033","24.750429","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=543, FN=0, Flags=.......TC"
"11037","24.751496","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=527, FN=0, Flags=.......TC"
"11043","24.754851","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=540, FN=0, Flags=....R..TC"
"11045","24.755937","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=528, FN=0, Flags=....R..TC"
"11051","24.763535","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=541, FN=0, Flags=.......TC"
"11055","24.765439","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=529, FN=0, Flags=.......TC"
"11063","24.868306","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=530, FN=0, Flags=.......TC"
"11065","24.869510","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=544, FN=0, Flags=....R..TC"
"11067","24.870614","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=542, FN=0, Flags=....R..TC"
"11073","24.872221","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=543, FN=0, Flags=.......TC"
"11075","24.873307","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=545, FN=0, Flags=.......TC"
"11079","24.878019","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=531, FN=0, Flags=.......TC"
"11083","24.881805","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=544, FN=0, Flags=.......TC"
"11087","24.882864","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=532, FN=0, Flags=.......TC"
"11091","24.883931","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=546, FN=0, Flags=.......TC"
"11099","24.988310","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=547, FN=0, Flags=.......TC"
"11103","24.988666","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=548, FN=0, Flags=.......TC"
"11105","24.989925","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=545, FN=0, Flags=....R..TC"
"11107","24.990983","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=533, FN=0, Flags=....R..TC"
"11111","24.992060","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=549, FN=0, Flags=.......TC"
"11115","24.995512","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=546, FN=0, Flags=.......TC"
"11119","24.997165","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=550, FN=0, Flags=.......TC"
"11125","24.998621","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=551, FN=0, Flags=....R..TC"
"11129","25.001417","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=552, FN=0, Flags=.......TC"
"11133","25.003006","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=547, FN=0, Flags=.......TC"
"11141","25.108303","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=548, FN=0, Flags=.......TC"
"11143","25.109371","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=553, FN=0, Flags=.......TC"
"11145","25.110447","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=535, FN=0, Flags=.......TC"
"11149","25.113549","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=549, FN=0, Flags=.......TC"
"11153","25.114832","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=536, FN=0, Flags=.......TC"
"11157","25.118717","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=550, FN=0, Flags=.......TC"
"11163","25.121905","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=551, FN=0, Flags=.......TC"
"11167","25.123746","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=537, FN=0, Flags=.......TC"
"11175","25.228414","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=554, FN=0, Flags=.......TC"
"11177","25.229673","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=538, FN=0, Flags=....R..TC"
"11179","25.230749","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=552, FN=0, Flags=....R..TC"
"11183","25.234463","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=555, FN=0, Flags=.......TC"
"11187","25.236583","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=556, FN=0, Flags=.......TC"
"11191","25.237669","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=539, FN=0, Flags=.......TC"
"11195","25.238746","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=553, FN=0, Flags=.......TC"
"11199","25.240857","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=540, FN=0, Flags=.......TC"
"11203","25.242951","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=554, FN=0, Flags=.......TC"
"11207","25.245458","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=557, FN=0, Flags=.......TC"
"11215","25.348307","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=558, FN=0, Flags=.......TC"
"11217","25.349366","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=541, FN=0, Flags=.......TC"
"11221","25.350019","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=542, FN=0, Flags=.......TC"
"11223","25.351078","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=555, FN=0, Flags=.......TC"
"11229","25.352559","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=556, FN=0, Flags=.......TC"
"11231","25.353618","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=543, FN=0, Flags=.......TC"
"11235","25.354677","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=557, FN=0, Flags=.......TC"
"11239","25.356365","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=559, FN=0, Flags=.......TC"
"11243","25.359629","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=558, FN=0, Flags=.......TC"
"11249","25.362523","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=544, FN=0, Flags=.......TC"
"11251","25.363582","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=560, FN=0, Flags=.......TC"
"11259","25.468403","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=545, FN=0, Flags=.......TC"
"11261","25.469498","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=559, FN=0, Flags=....R..TC"
"11265","25.470295","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=560, FN=0, Flags=.......TC"
"11271","25.472263","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=561, FN=0, Flags=....R..TC"
"11273","25.473331","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=561, FN=0, Flags=.......TC"
"11277","25.473768","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=562, FN=0, Flags=.......TC"
"11279","25.474827","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=546, FN=0, Flags=.......TC"
"11283","25.476587","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=563, FN=0, Flags=.......TC"
"11287","25.478078","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=562, FN=0, Flags=.......TC"
"11291","25.480973","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=564, FN=0, Flags=.......TC"
"11295","25.482058","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=547, FN=0, Flags=.......TC"
"11299","25.487671","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=563, FN=0, Flags=.......TC"
"11307","25.588305","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=548, FN=0, Flags=.......TC"
"11309","25.589537","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=565, FN=0, Flags=....R..TC"
"11311","25.590613","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=564, FN=0, Flags=....R..TC"
"11317","25.596910","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=565, FN=0, Flags=.......TC"
"11321","25.597986","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=549, FN=0, Flags=.......TC"
"11323","25.599054","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=566, FN=0, Flags=.......TC"
"11327","25.602507","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=567, FN=0, Flags=.......TC"
"11331","25.604267","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=550, FN=0, Flags=.......TC"
"11335","25.606226","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=566, FN=0, Flags=.......TC"
"11343","25.708410","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=567, FN=0, Flags=.......TC"
"11345","25.709469","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=568, FN=0, Flags=....R..TC"
"11347","25.710572","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=551, FN=0, Flags=....R..TC"
"11351","25.714952","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=568, FN=0, Flags=.......TC"
"11355","25.716442","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=569, FN=0, Flags=.......TC"
"11359","25.717924","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=552, FN=0, Flags=.......TC"
"11363","25.719001","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=569, FN=0, Flags=.......TC"
"11367","25.720086","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=553, FN=0, Flags=.......TC"
"11371","25.721154","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=570, FN=0, Flags=.......TC"
"11375","25.728935","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=570, FN=0, Flags=.......TC"
"11383","25.828465","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=554, FN=0, Flags=....R..TC"
"11385","25.829550","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=571, FN=0, Flags=....R..TC"
"11387","25.830618","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=571, FN=0, Flags=....R..TC"
"11391","25.831694","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=572, FN=0, Flags=.......TC"
"11395","25.832771","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=572, FN=0, Flags=.......TC"
"11399","25.834649","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=573, FN=0, Flags=.......TC"
"11403","25.838299","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=555, FN=0, Flags=.......TC"
"11409","25.839799","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=556, FN=0, Flags=.......TC"
"11413","25.841127","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=573, FN=0, Flags=.......TC"
"11421","25.948314","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=574, FN=0, Flags=.......TC"
"11423","25.949518","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=557, FN=0, Flags=....R..TC"
"11425","25.950586","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=574, FN=0, Flags=....R..TC"
"11429","25.951653","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=558, FN=0, Flags=.......TC"
"11433","25.953243","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=575, FN=0, Flags=.......TC"
"11437","25.955616","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=559, FN=0, Flags=.......TC"
"11441","25.957079","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=575, FN=0, Flags=.......TC"
"11445","25.958615","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=576, FN=0, Flags=.......TC"
"11449","25.963507","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=576, FN=0, Flags=.......TC"
"11453","25.964827","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=577, FN=0, Flags=.......TC"
"11457","25.965886","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=560, FN=0, Flags=.......TC"
"11465","26.068466","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=578, FN=0, Flags=....R..TC"
"11469","26.069425","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=579, FN=0, Flags=.......TC"
"11471","26.070502","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=577, FN=0, Flags=....R..TC"
"11473","26.071570","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=561, FN=0, Flags=....R..TC"
"11477","26.072403","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=562, FN=0, Flags=.......TC"
"11481","26.073471","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=578, FN=0, Flags=.......TC"
"11485","26.074358","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=579, FN=0, Flags=.......TC"
"11493","26.076434","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=580, FN=0, Flags=.......TC"
"11495","26.077493","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=580, FN=0, Flags=.......TC"
"11497","26.078569","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=563, FN=0, Flags=.......TC"
"11501","26.080123","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=581, FN=0, Flags=.......TC"
"11505","26.085141","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=581, FN=0, Flags=.......TC"
"11509","26.086470","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=564, FN=0, Flags=.......TC"
"11517","26.188302","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=582, FN=0, Flags=.......TC"
"11519","26.189360","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=582, FN=0, Flags=.......TC"
"11523","26.190428","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=583, FN=0, Flags=.......TC"
"11525","26.191495","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=565, FN=0, Flags=.......TC"
"11529","26.194354","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=566, FN=0, Flags=.......TC"
"11533","26.195413","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=584, FN=0, Flags=.......TC"
"11537","26.196471","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=583, FN=0, Flags=.......TC"
"11541","26.199051","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=585, FN=0, Flags=.......TC"
"11545","26.199614","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=586, FN=0, Flags=.......TC"
"11551","26.205362","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=567, FN=0, Flags=.......TC"
"11553","26.206421","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=584, FN=0, Flags=.......TC"
"11561","26.308315","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=585, FN=0, Flags=.......TC"
"11563","26.309374","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=587, FN=0, Flags=.......TC"
