"No.","Time","Source","Destination","Protocol","Length","Info"
"4694","5.669367","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=18, FN=0, Flags=.......TC"
"4696","5.670426","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=18, FN=0, Flags=.......TC"
"4700","5.675238","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=19, FN=0, Flags=.......TC"
"4706","5.677421","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=20, FN=0, Flags=.......TC"
"4708","5.678480","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=19, FN=0, Flags=.......TC"
"4712","5.678917","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=20, FN=0, Flags=.......TC"
"4718","5.681349","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=21, FN=0, Flags=.......TC"
"4722","5.683902","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=20, FN=0, Flags=.......TC"
"4730","5.788498","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=21, FN=0, Flags=....R..TC"
"4732","5.789556","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=22, FN=0, Flags=....R..TC"
"4736","5.790723","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=22, FN=0, Flags=.......TC"
"4738","5.791782","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=21, FN=0, Flags=....R..TC"
"4742","5.795081","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=23, FN=0, Flags=.......TC"
"4746","5.796167","00:00:00_00:00:01","00:00:00_00:00:04","802.11","72","Null function (No data), SN=22, FN=0, Flags=.......TC"
"4750","5.797234","00:00:00_00:00:03","00:00:00_00:00:04","802.11","72","Null function (No data), SN=23, FN=0, Flags=.......TC"
"4754","5.804602","00:00:00_00:00:02","00:00:00_00:00:04","802.11","72","Null function (No data), SN=24, FN=0, Flags=.......TC"
